Title,year,Genres,Actors,Director,Plot,OMDb_URL,Poster_URL
"Dr. Mabuse, the Gambler (Dr. Mabuse, der Spieler)",1922.0,"Crime, Mystery, Thriller","Rudolf Klein-Rogge, Aud Egede-Nissen, Gertrude Welcker",Fritz Lang,Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.,https://www.imdb.com/title/tt0013086/,https://m.media-amazon.com/images/M/MV5BM2FkMGNhOGUtMjE4OC00MzFlLTgxNmYtZGU0YjQ3YzMzMGM2XkEyXkFqcGc@._V1_SX300.jpg
Nanook of the North,1922.0,Documentary,"Allakariallak, Alice Nevalinga, Cunayou",Robert J. Flaherty,"In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle.",https://www.imdb.com/title/tt0013427/,https://m.media-amazon.com/images/M/MV5BMTg4Njk3MjU5Ml5BMl5BanBnXkFtZTgwOTIyODg5MTE@._V1_SX300.jpg
"Nosferatu, A Symphony of Terror (Nosferatu, eine Symphonie des Grauens)",1922.0,"Fantasy, Horror","Max Schreck, Alexander Granach, Gustav von Wangenheim",F.W. Murnau,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,https://www.imdb.com/title/tt0013442/,https://m.media-amazon.com/images/M/MV5BNDg1OTI1M2MtMTVlMS00ZjFhLTgyMTAtYjIzOWUwZTkyZWE5XkEyXkFqcGc@._V1_SX300.jpg
The Smiling Madame Beudet (La Souriante Madame Beudet),1922.0,"Short, Drama","Germaine Dermoz, Madeleine Guitty, Jean d'Yd",Germaine Dulac,An unhappily married woman devises a scheme to get rid of her husband.,https://www.imdb.com/title/tt0013626/,https://m.media-amazon.com/images/M/MV5BMjVhNmNhNGYtZDZjOS00NmRmLWE5ZmItYTViNjFhNjg1NTM5XkEyXkFqcGc@._V1_SX300.jpg
Foolish Wives,1922.0,"Drama, Thriller","Rudolph Christians, Miss DuPont, Maude George",Erich von Stroheim,A con artist masquerades as Russian nobility and attempts to seduce the wife of an American diplomat.,https://www.imdb.com/title/tt0013140/,https://m.media-amazon.com/images/M/MV5BMjEzNDMzYTktZWE5OC00NmFlLWEzNmQtY2U0MTFmZDA1MWVjXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg
Häxan,1923.0,"Documentary, Fantasy, Horror","Benjamin Christensen, Elisabeth Christensen, Maren Pedersen",Benjamin Christensen,"Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe.",https://www.imdb.com/title/tt0013257/,https://m.media-amazon.com/images/M/MV5BMjEwMzgzMTEtYzI3ZS00M2M4LWJjZGYtY2UxZjgzNzNjNjc0XkEyXkFqcGc@._V1_SX300.jpg
The Wheel (La Roue),1923.0,Drama,"Gabriel de Gravone, Pierre Magnier, Georges Térof",Abel Gance,"A railway engineer adopts a young girl orphaned by a train crash. Years later when she starts getting suitors, he grapples with whether or not to tell her the truth about her parentage.",https://www.imdb.com/title/tt0014417/,https://m.media-amazon.com/images/M/MV5BMjAzODE4NTg5MF5BMl5BanBnXkFtZTcwODIzMzg2MQ@@._V1_SX300.jpg
Our Hospitality,1923.0,"Comedy, Romance, Thriller","Buster Keaton, Natalie Talmadge, Joe Keaton","John G. Blystone, Buster Keaton","A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",https://www.imdb.com/title/tt0014341/,https://m.media-amazon.com/images/M/MV5BNDY2MjRmZWQtZTRmYS00YjA2LTg0ZTgtYzBjODJiNTFkMTc4XkEyXkFqcGc@._V1_SX300.jpg
Strike (Stachka),1924.0,Drama,"Grigoriy Aleksandrov, Maksim Shtraukh, Mikhail Gomorov",Sergei Eisenstein,A group of oppressed factory workers go on strike in pre-revolutionary Russia.,https://www.imdb.com/title/tt0015361/,https://m.media-amazon.com/images/M/MV5BMjY5OWJiMTktM2M5Ny00MTJhLWFiYzktNzk0MTA2MDQyZDY3XkEyXkFqcGc@._V1_SX300.jpg
"Sherlock, Jr.",1924.0,"Action, Comedy, Romance","Buster Keaton, Kathryn McGuire, Joe Keaton",Buster Keaton,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",https://www.imdb.com/title/tt0015324/,https://m.media-amazon.com/images/M/MV5BMjQzM2E2NjYtYmRjMC00ZmVlLTljZTgtNmQ5MGZlNDYyZTc5XkEyXkFqcGc@._V1_SX300.jpg
The Great White Silence,1924.0,Short,"Cade Sladen, Sean Roberts Metcalfe, Phyllisa Jessop",Marcus Wong,"Set in 1970's Western Australia, a family of 4 is living in poverty due to the neglect of their drunk and dictating father Keith. Mark, the youngest son is forced to grow up and step into his brother's shoes when Andrew, his older br",https://www.imdb.com/title/tt10743108/,https://m.media-amazon.com/images/M/MV5BM2Y0OTRkMjQtNWIzZS00YjQ2LThiMTEtNWM3ZmMyYmFkZmRiXkEyXkFqcGdeQXVyOTkxNTAyNDU@._V1_SX300.jpg
The Last Laugh (Der Letzte Mann),1924.0,Drama,"Emil Jannings, Maly Delschaft, Max Hiller",F.W. Murnau,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",https://www.imdb.com/title/tt0015064/,https://m.media-amazon.com/images/M/MV5BNjU5ODQ5YjMtMWRmMC00MmI0LTgyNjUtY2FhMDcwZTBmOGI0XkEyXkFqcGc@._V1_SX300.jpg
The Thief of Bagdad,1924.0,"Adventure, Family, Fantasy","Conrad Veidt, Sabu, June Duprez","Ludwig Berger, Michael Powell, Tim Whelan","After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves.",https://www.imdb.com/title/tt0033152/,https://m.media-amazon.com/images/M/MV5BYjcyOTFmOGItMzNkNC00MjFhLTk1NzEtOThkMGEzNTRmYzJkXkEyXkFqcGc@._V1_SX300.jpg
Greed,1924.0,"Drama, Thriller, Western","Gibson Gowland, Zasu Pitts, Jean Hersholt",Erich von Stroheim,The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,https://www.imdb.com/title/tt0015881/,https://m.media-amazon.com/images/M/MV5BZDIzZGJhMWEtNzc2OS00NWI1LTk1NmUtNTM3MmMxZjIxNDYzXkEyXkFqcGc@._V1_SX300.jpg
The Phantom of the Opera,1925.0,"Drama, Musical, Romance","Gerard Butler, Emmy Rossum, Patrick Wilson",Joel Schumacher,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,https://www.imdb.com/title/tt0293508/,https://m.media-amazon.com/images/M/MV5BNDczNzg4OTM3MV5BMl5BanBnXkFtZTcwOTQzMTEzMw@@._V1_SX300.jpg
The Battleship Potemkin (Bronenosets Potyomkin),1925.0,,,,,,
The Big Parade,1925.0,"Drama, Romance, War","John Gilbert, Renée Adorée, Hobart Bosworth","King Vidor, George W. Hill",A young American soldier witnesses the horrors of the Great War.,https://www.imdb.com/title/tt0015624/,https://m.media-amazon.com/images/M/MV5BNjY2MTA1MjExNV5BMl5BanBnXkFtZTgwNzQ2ODAyMjE@._V1_SX300.jpg
The Eagle,1925.0,"Action, Adventure, Drama","Channing Tatum, Jamie Bell, Donald Sutherland",Kevin Macdonald,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",https://www.imdb.com/title/tt1034389/,https://m.media-amazon.com/images/M/MV5BMTY1MjYwNTQ4Ml5BMl5BanBnXkFtZTcwMjYwNzAxNA@@._V1_SX300.jpg
The Gold Rush,1925.0,"Adventure, Comedy, Drama","Charles Chaplin, Mack Swain, Tom Murray",Charles Chaplin,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",https://www.imdb.com/title/tt0015864/,https://m.media-amazon.com/images/M/MV5BNGU1NjYzYTAtZmY0YS00NWIzLTkzNzUtYzc2ZTIyOTIxZjVhXkEyXkFqcGc@._V1_SX300.jpg
Seven Chances,1925.0,"Comedy, Romance","Buster Keaton, Ruth Dwyer, T. Roy Barnes",Buster Keaton,A man learns that he will inherit a fortune if he marries by 7PM that evening.,https://www.imdb.com/title/tt0016332/,https://m.media-amazon.com/images/M/MV5BZTY5ZjU1MjAtZDBiYi00ZmJlLTllMzItOTkwYTZkZjc5MWNjXkEyXkFqcGc@._V1_SX300.jpg
The Adventures of Prince Achmed (Die Abenteuer des Prinzen Achmed),1926.0,"Animation, Action, Adventure","Jamie Bell, Andy Serkis, Daniel Craig",Steven Spielberg,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,https://www.imdb.com/title/tt0983193/,https://m.media-amazon.com/images/M/MV5BNDE5MDExNTQ1OF5BMl5BanBnXkFtZTcwMDIxMTM5Ng@@._V1_SX300.jpg
Napoléon,1927.0,"Adventure, Biography, Drama","Christian Clavier, Isabella Rossellini, Gérard Depardieu",N/A,"A masterful soldier, tactician, and statesmen, Napoleon Bonaparte, with courage and love for his country, rises from an unpaid general consumed with ambition to the most powerful man in Europe. But his life ends with a fall and ex...",https://www.imdb.com/title/tt0253839/,https://m.media-amazon.com/images/M/MV5BODkzZGJmMjgtNTA4Yi00MzNlLTgzYjEtMGYxODRhOWRmNjk0XkEyXkFqcGc@._V1_SX300.jpg
Metropolis,1927.0,"Drama, Sci-Fi","Brigitte Helm, Alfred Abel, Gustav Fröhlich",Fritz Lang,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",https://www.imdb.com/title/tt0017136/,https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_SX300.jpg
Sunrise,1927.0,"Drama, Romance","George O'Brien, Janet Gaynor, Margaret Livingston",F.W. Murnau,"A married farmer falls under the spell of a sophisticated woman from the city, who tries to convince him to drown his wife.",https://www.imdb.com/title/tt0018455/,https://m.media-amazon.com/images/M/MV5BYTk4N2UyZjAtZGMxNy00MjE4LWEyNzUtYWQzNjFjNzQxOTI0XkEyXkFqcGc@._V1_SX300.jpg
The General,1927.0,"Action, Adventure, Comedy","Buster Keaton, Marion Mack, Glen Cavender","Clyde Bruckman, Buster Keaton","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...",https://www.imdb.com/title/tt0017925/,https://m.media-amazon.com/images/M/MV5BMTVhM2Y1MDUtMDkxYi00Y2UxLWI2MTMtZjMzYTY4ODM4MGIzXkEyXkFqcGc@._V1_SX300.jpg
October (Oktyabr),1927.0,"Drama, Romance","Varun Dhawan, Banita Sandhu, Gitanjali Rao",Shoojit Sircar,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?,https://www.imdb.com/title/tt7700730/,https://m.media-amazon.com/images/M/MV5BZWNkMDYwNzItMzE4NS00Y2U2LWJmYjUtMjZkOGNjZmFjOTA3XkEyXkFqcGc@._V1_SX300.jpg
The Unknown,1927.0,"Drama, Horror, Romance","Lon Chaney, Norman Kerry, Joan Crawford",Tod Browning,A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.,https://www.imdb.com/title/tt0018528/,https://m.media-amazon.com/images/M/MV5BMWQ4Mzg0NDItODEyNy00MzFlLWFjNGYtMjIyODQxNGRjNmFhXkEyXkFqcGc@._V1_SX300.jpg
The Jazz Singer,1927.0,"Drama, Music, Musical","Al Jolson, May McAvoy, Warner Oland",Alan Crosland,The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,https://www.imdb.com/title/tt0018037/,https://m.media-amazon.com/images/M/MV5BNTMxODVjM2MtYjFlYS00Y2Y1LTg1NTEtNjcwZTBhNTE3MTJmXkEyXkFqcGc@._V1_SX300.jpg
The Kid Brother,1927.0,"Comedy, Drama, Family","Harold Lloyd, Jobyna Ralston, Walter James","Ted Wilde, Harold Lloyd, Lewis Milestone",A sheriff's milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town.,https://www.imdb.com/title/tt0018051/,https://m.media-amazon.com/images/M/MV5BMTQzNjY2NjY1Ml5BMl5BanBnXkFtZTgwOTYzODYwMjE@._V1_SX300.jpg
An Andalusian Dog (Un Chien Andalou),1928.0,,,,,,
Storm Over Asia (Potomok Chingis-khana),1928.0,"Drama, War","I. Inkizhinov, Valéry Inkijinoff, A. Dedintsev",Vsevolod Pudovkin,"After a run-in with the law, a Mongolian man becomes a fugitive and joins the Russian Civil War.",https://www.imdb.com/title/tt0019286/,https://m.media-amazon.com/images/M/MV5BMTg0Mjg5ODAwNV5BMl5BanBnXkFtZTgwMzE3ODgwMjE@._V1_SX300.jpg
"Steamboat Bill, Jr.",1928.0,"Action, Comedy, Drama","Buster Keaton, Tom McGuire, Ernest Torrence","Charles Reisner, Buster Keaton",The effete son of a cantankerous riverboat captain comes to join his father's crew.,https://www.imdb.com/title/tt0019421/,https://m.media-amazon.com/images/M/MV5BOTg2MjUyMjYyOV5BMl5BanBnXkFtZTgwNjM0NDAwMjE@._V1_SX300.jpg
The Crowd,1928.0,"Drama, Romance","Eleanor Boardman, James Murray, Bert Roach",King Vidor,"The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles, and downfalls.",https://www.imdb.com/title/tt0018806/,https://m.media-amazon.com/images/M/MV5BZmRkNjk1ZDgtOTk2Ny00ZjU5LTg4NWQtYzNmNzFkMzA4MWMxXkEyXkFqcGc@._V1_SX300.jpg
The Passion of Joan of Arc (La Passion de Jeanne d'Arc),1928.0,Drama,"Jim Caviezel, Monica Bellucci, Maia Morgenstern",Mel Gibson,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",https://www.imdb.com/title/tt0335345/,https://m.media-amazon.com/images/M/MV5BNzMxY2Y4MzktMGNkNC00ODFjLWI3MGMtMzM2M2ExNmQxMGFmXkEyXkFqcGc@._V1_SX300.jpg
The Docks of New York,1928.0,"Crime, Drama, Film-Noir","George Bancroft, Betty Compson, Olga Baclanova",Josef von Sternberg,A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,https://www.imdb.com/title/tt0018839/,https://m.media-amazon.com/images/M/MV5BZDM5Mjc3ZGMtMTcxYy00ZDBmLWJhZGEtOWQwNGVmZDJmNzQ2XkEyXkFqcGc@._V1_SX300.jpg
The Man with the Movie Camera (Chelovek S Kinoapparatom),1929.0,"Action, Adventure, Thriller","Roger Moore, Christopher Lee, Britt Ekland",Guy Hamilton,"James Bond is targeted by the world's most expensive assassin, while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder.",https://www.imdb.com/title/tt0071807/,https://m.media-amazon.com/images/M/MV5BNzEzMzFiZDgtMWQ4YS00YmU1LWI5OTUtZjcwZmYyY2FlMTFhXkEyXkFqcGc@._V1_SX300.jpg
Blackmail,1929.0,"Comedy, Drama, Thriller","Irrfan Khan, Kirti Kulhari, Arunoday Singh",Abhinay Deo,"When Dev finds out his wife is cheating on him, he secretly blackmails his wife and her lover as a form of revenge.",https://www.imdb.com/title/tt6972140/,https://m.media-amazon.com/images/M/MV5BZGIwODIyY2ItNWYyOC00YWE3LWI3ZjgtNTNhY2MxNzA2Mjk2XkEyXkFqcGc@._V1_SX300.jpg
Pandora's Box (Die Büchse der Pandora),1929.0,"Crime, Drama, Romance","Louise Brooks, Fritz Kortner, Francis Lederer",Georg Wilhelm Pabst,The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,https://www.imdb.com/title/tt0018737/,https://m.media-amazon.com/images/M/MV5BZTQ2Yzc3MjUtNTdlNi00YzBmLTgxMjAtNzQ2NjEyODE3YTRlXkEyXkFqcGc@._V1_SX300.jpg
A Throw of Dice (Prapancha Pash),1929.0,"Adventure, Drama, Romance","Seeta Devi, Himanshu Rai, Charu Roy",Franz Osten,"Two neighboring Indian kingdoms are ruled by cousins - King Ranjit and King Sohat. Unbeknownst to Ranjit, Sohat is plotting to seize control of his kingdom.",https://www.imdb.com/title/tt0020286/,https://m.media-amazon.com/images/M/MV5BMTIyMjMxNDA1M15BMl5BanBnXkFtZTcwMDQ5MzM2MQ@@._V1_SX300.jpg
The Age of Gold (L'Âge d'or),1930.0,"Drama, Fantasy, Romance","Blake Lively, Michiel Huisman, Harrison Ford",Lee Toland Krieger,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",https://www.imdb.com/title/tt1655441/,https://m.media-amazon.com/images/M/MV5BMTAzMTQzMTA2MjheQTJeQWpwZ15BbWU4MDk2MTg2MzUx._V1_SX300.jpg
The Blue Angel (Der Blaue Engel),1930.0,"Drama, Music, Romance","Emil Jannings, Marlene Dietrich, Kurt Gerron",Josef von Sternberg,An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,https://www.imdb.com/title/tt0020697/,https://m.media-amazon.com/images/M/MV5BMzQzYTA1N2EtOTUxMy00YzI1LWFjOWEtN2NlOGZmZjZhNDYwXkEyXkFqcGc@._V1_SX300.jpg
Earth (Zemlya),1930.0,Documentary,"James Earl Jones, Patrick Stewart, Anggun","Alastair Fothergill, Mark Linfield","Feature-length version of the documentary TV series Planet Earth (2006), following the migration paths of four animal families.",https://www.imdb.com/title/tt0393597/,https://m.media-amazon.com/images/M/MV5BZDlkODRjYmItM2Y4Mi00NGY1LTgyODUtZmMxOWI5NWQ1NmFmXkEyXkFqcGc@._V1_SX300.jpg
All Quiet on the Western Front,1930.0,"Drama, History, War","Felix Kammerer, Albrecht Schuch, Aaron Hilmer",Edward Berger,A young German soldier's eagerness to serve his country quickly fades when he witnesses the horrors of combat on the Western Front during World War I.,https://www.imdb.com/title/tt1016150/,https://m.media-amazon.com/images/M/MV5BOWJiYWMyYTktZThhOS00ZjgxLWE0YTQtZDMyNTQxMjMyYjI2XkEyXkFqcGc@._V1_SX300.jpg
Tabu,1931.0,"Drama, Romance","Telmo Churro, Miguel Gomes, Hortêncílio Aquina",Miguel Gomes,A restless retired woman teams up with her deceased neighbor's maid to seek out a man who has a secret connection to her past life as a farm owner at the foothill of Mount Tabu in Africa.,https://www.imdb.com/title/tt2153963/,https://m.media-amazon.com/images/M/MV5BN2E4MGFmNjYtMmZkNS00YTAyLWEwZmYtNjRiYzM3OWI1MDcxXkEyXkFqcGc@._V1_SX300.jpg
Freedom for Us (À Nous la Liberté),1931.0,"Comedy, Musical","Raymond Cordy, Henri Marchand, Rolla France",René Clair,"Seeking better life, two convicts escape from prison.",https://www.imdb.com/title/tt0022599/,https://m.media-amazon.com/images/M/MV5BYWQzYTJlYWEtZmVkMy00OTUwLWI0YzItYzg5ODk3ZWU5NDQ5XkEyXkFqcGc@._V1_SX300.jpg
Little Caesar,1931.0,"Action, Crime, Drama","Edward G. Robinson, Douglas Fairbanks Jr., Glenda Farrell",Mervyn LeRoy,A small-time criminal moves to a big city to seek bigger fortune.,https://www.imdb.com/title/tt0021079/,https://m.media-amazon.com/images/M/MV5BZGE3YTI5MzUtZDVhZS00Y2NkLTgwNjYtNjg1YzE3MGE5NDhmXkEyXkFqcGc@._V1_SX300.jpg
M,1931.0,"Crime, Mystery, Thriller","Peter Lorre, Ellen Widmann, Inge Landgut",Fritz Lang,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",https://www.imdb.com/title/tt0022100/,https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_SX300.jpg
The Public Enemy,1931.0,"Crime, Drama","James Cagney, Jean Harlow, Edward Woods",William A. Wellman,An Irish-American street punk tries to make it big in the world of organized crime.,https://www.imdb.com/title/tt0022286/,https://m.media-amazon.com/images/M/MV5BYThlZDRjZjYtN2FmZS00NTQxLThlY2QtY2I0MGM5OWY1OWYxXkEyXkFqcGc@._V1_SX300.jpg
Dracula,1931.0,"Fantasy, Horror, Romance","Gary Oldman, Winona Ryder, Anthony Hopkins",Francis Ford Coppola,Centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and wreak havoc in the foreign land.,https://www.imdb.com/title/tt0103874/,https://m.media-amazon.com/images/M/MV5BMmVhNzhlMzMtYjJkNy00ODU4LWJmMjUtYzdlMGI3MTQ3YzBhXkEyXkFqcGc@._V1_SX300.jpg
City Lights,1931.0,"Comedy, Drama, Romance","Charles Chaplin, Virginia Cherrill, Florence Lee",Charles Chaplin,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://www.imdb.com/title/tt0021749/,https://m.media-amazon.com/images/M/MV5BYmMwZDIyZWUtODVhYS00MDRmLTg0N2ItMzU5MGZhN2IxNmZjXkEyXkFqcGc@._V1_SX300.jpg
Frankenstein,1931.0,"Drama, Horror, Sci-Fi","Colin Clive, Mae Clarke, Boris Karloff",James Whale,Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.,https://www.imdb.com/title/tt0021884/,https://m.media-amazon.com/images/M/MV5BNDhjNjgxN2EtZGIxZC00NDQzLThmOWMtZDgwNmYwZDQ3MzZiXkEyXkFqcGc@._V1_SX300.jpg
Limite,1931.0,Documentary,"Alberto Cardoso, Pope Francis, Divaldo Pereira Franco","Rebeca Casagrande, Fabio Medeiros, Juliano Pozati",Documentary about a revelations of Chico Xavier on the deadline of humanity and the new era that is to come.,https://www.imdb.com/title/tt3967902/,https://m.media-amazon.com/images/M/MV5BNjYyOTcyNDE2Nl5BMl5BanBnXkFtZTgwODIwNzE1MjE@._V1_SX300.jpg
The Million (Le Million),1931.0,"Drama, Mystery, Thriller","Jeremy Davies, Milla Jovovich, Mel Gibson",Wim Wenders,"Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.",https://www.imdb.com/title/tt0120753/,https://m.media-amazon.com/images/M/MV5BYzVhM2RjOWMtMzFmMS00MDE0LTg2MTItMzhlNTcwNmQxZjI0XkEyXkFqcGc@._V1_SX300.jpg
The Bitch (La Chienne),1931.0,"Crime, Drama, Romance","Michel Simon, Janie Marèse, Georges Flamant",Jean Renoir,"Maurice Legrand, a meek cashier married to a nagging wife, has a secret passion: he's a Sunday painter. He falls in love with Lulu, a young woman dominated by Dédé, the pimp who she works for. Dédé pushes Lulu into a relationship ...",https://www.imdb.com/title/tt0021739/,https://m.media-amazon.com/images/M/MV5BM2IzNTM3YzctZTVkZC00NWE2LWJjYmYtMjQzZDcwMTU3MWJlXkEyXkFqcGc@._V1_SX300.jpg
Me and My Gal,1932.0,"Musical, Romance, War","Judy Garland, George Murphy, Gene Kelly",Busby Berkeley,"Two vaudeville performers fall in love, but find their relationship tested by the arrival of WWI.",https://www.imdb.com/title/tt0034746/,https://m.media-amazon.com/images/M/MV5BNWRkYzBlZTMtNjc4NS00NzE1LWJkZDEtMTlkNzU2MWIzOWY5XkEyXkFqcGc@._V1_SX300.jpg
